library_name	library_group	fastq_R1	fastq_R2
IL-6_L90A-a	IL-6_L90A	IL-6_L90A-a_R1.fastq.gz	IL-6_L90A-a_R2.fastq.gz
IL-6_L90A-b	IL-6_L90A	IL-6_L90A-b_R1.fastq.gz	IL-6_L90A-b_R2.fastq.gz
IL-6_L90A-c	IL-6_L90A	IL-6_L90A-c_R1.fastq.gz	IL-6_L90A-c_R2.fastq.gz
IL-6_L90A-d	IL-6_L90A	IL-6_L90A-d_R1.fastq.gz	IL-6_L90A-d_R2.fastq.gz
IL-6_L90A-e	IL-6_L90A	IL-6_L90A-e_R1.fastq.gz	IL-6_L90A-e_R2.fastq.gz
IL-6_L90A-f	IL-6_L90A	IL-6_L90A-f_R1.fastq.gz	IL-6_L90A-f_R2.fastq.gz
IL-6_L90A-g	IL-6_L90A	IL-6_L90A-g_R1.fastq.gz	IL-6_L90A-g_R2.fastq.gz
IL-6_L90A-h	IL-6_L90A	IL-6_L90A-h_R1.fastq.gz	IL-6_L90A-h_R2.fastq.gz
IL-6_L90A-i	IL-6_L90A	IL-6_L90A-i_R1.fastq.gz	IL-6_L90A-i_R2.fastq.gz
IL-6_L90A-j	IL-6_L90A	IL-6_L90A-j_R1.fastq.gz	IL-6_L90A-j_R2.fastq.gz
IL-6_L90A-k	IL-6_L90A	IL-6_L90A-k_R1.fastq.gz	IL-6_L90A-k_R2.fastq.gz
IL-6_L90A-l	IL-6_L90A	IL-6_L90A-l_R1.fastq.gz	IL-6_L90A-l_R2.fastq.gz
IL-6_P93A-a	IL-6_P93A	IL-6_P93A-a_R1.fastq.gz	IL-6_P93A-a_R2.fastq.gz
IL-6_P93A-b	IL-6_P93A	IL-6_P93A-b_R1.fastq.gz	IL-6_P93A-b_R2.fastq.gz
IL-6_P93A-c	IL-6_P93A	IL-6_P93A-c_R1.fastq.gz	IL-6_P93A-c_R2.fastq.gz
IL-6_P93A-d	IL-6_P93A	IL-6_P93A-d_R1.fastq.gz	IL-6_P93A-d_R2.fastq.gz
IL-6_P93A-e	IL-6_P93A	IL-6_P93A-e_R1.fastq.gz	IL-6_P93A-e_R2.fastq.gz
IL-6_P93A-f	IL-6_P93A	IL-6_P93A-f_R1.fastq.gz	IL-6_P93A-f_R2.fastq.gz
IL-6_P93A-g	IL-6_P93A	IL-6_P93A-g_R1.fastq.gz	IL-6_P93A-g_R2.fastq.gz
IL-6_P93A-h	IL-6_P93A	IL-6_P93A-h_R1.fastq.gz	IL-6_P93A-h_R2.fastq.gz
IL-6_P93A-i	IL-6_P93A	IL-6_P93A-i_R1.fastq.gz	IL-6_P93A-i_R2.fastq.gz
IL-6_P93A-j	IL-6_P93A	IL-6_P93A-j_R1.fastq.gz	IL-6_P93A-j_R2.fastq.gz
IL-6_P93A-k	IL-6_P93A	IL-6_P93A-k_R1.fastq.gz	IL-6_P93A-k_R2.fastq.gz
IL-6_P93A-l	IL-6_P93A	IL-6_P93A-l_R1.fastq.gz	IL-6_P93A-l_R2.fastq.gz
IL-6_D99A-a	IL-6_D99A	IL-6_D99A-a_R1.fastq.gz	IL-6_D99A-a_R2.fastq.gz
IL-6_D99A-b	IL-6_D99A	IL-6_D99A-b_R1.fastq.gz	IL-6_D99A-b_R2.fastq.gz
IL-6_D99A-c	IL-6_D99A	IL-6_D99A-c_R1.fastq.gz	IL-6_D99A-c_R2.fastq.gz
IL-6_D99A-d	IL-6_D99A	IL-6_D99A-d_R1.fastq.gz	IL-6_D99A-d_R2.fastq.gz
IL-6_D99A-e	IL-6_D99A	IL-6_D99A-e_R1.fastq.gz	IL-6_D99A-e_R2.fastq.gz
IL-6_D99A-f	IL-6_D99A	IL-6_D99A-f_R1.fastq.gz	IL-6_D99A-f_R2.fastq.gz
IL-6_D99A-g	IL-6_D99A	IL-6_D99A-g_R1.fastq.gz	IL-6_D99A-g_R2.fastq.gz
IL-6_D99A-h	IL-6_D99A	IL-6_D99A-h_R1.fastq.gz	IL-6_D99A-h_R2.fastq.gz
IL-6_D99A-i	IL-6_D99A	IL-6_D99A-i_R1.fastq.gz	IL-6_D99A-i_R2.fastq.gz
IL-6_D99A-j	IL-6_D99A	IL-6_D99A-j_R1.fastq.gz	IL-6_D99A-j_R2.fastq.gz
IL-6_D99A-k	IL-6_D99A	IL-6_D99A-k_R1.fastq.gz	IL-6_D99A-k_R2.fastq.gz
IL-6_D99A-l	IL-6_D99A	IL-6_D99A-l_R1.fastq.gz	IL-6_D99A-l_R2.fastq.gz
IL-6_F102A-a	IL-6_F102A	IL-6_F102A-a_R1.fastq.gz	IL-6_F102A-a_R2.fastq.gz
IL-6_F102A-b	IL-6_F102A	IL-6_F102A-b_R1.fastq.gz	IL-6_F102A-b_R2.fastq.gz
IL-6_F102A-c	IL-6_F102A	IL-6_F102A-c_R1.fastq.gz	IL-6_F102A-c_R2.fastq.gz
IL-6_F102A-d	IL-6_F102A	IL-6_F102A-d_R1.fastq.gz	IL-6_F102A-d_R2.fastq.gz
IL-6_F102A-e	IL-6_F102A	IL-6_F102A-e_R1.fastq.gz	IL-6_F102A-e_R2.fastq.gz
IL-6_F102A-f	IL-6_F102A	IL-6_F102A-f_R1.fastq.gz	IL-6_F102A-f_R2.fastq.gz
IL-6_F102A-g	IL-6_F102A	IL-6_F102A-g_R1.fastq.gz	IL-6_F102A-g_R2.fastq.gz
IL-6_F102A-h	IL-6_F102A	IL-6_F102A-h_R1.fastq.gz	IL-6_F102A-h_R2.fastq.gz
IL-6_F102A-i	IL-6_F102A	IL-6_F102A-i_R1.fastq.gz	IL-6_F102A-i_R2.fastq.gz
IL-6_F102A-j	IL-6_F102A	IL-6_F102A-j_R1.fastq.gz	IL-6_F102A-j_R2.fastq.gz
IL-6_F102A-k	IL-6_F102A	IL-6_F102A-k_R1.fastq.gz	IL-6_F102A-k_R2.fastq.gz
IL-6_F102A-l	IL-6_F102A	IL-6_F102A-l_R1.fastq.gz	IL-6_F102A-l_R2.fastq.gz
IL-6_G105A-a	IL-6_G105A	IL-6_G105A-a_R1.fastq.gz	IL-6_G105A-a_R2.fastq.gz
IL-6_G105A-b	IL-6_G105A	IL-6_G105A-b_R1.fastq.gz	IL-6_G105A-b_R2.fastq.gz
IL-6_G105A-c	IL-6_G105A	IL-6_G105A-c_R1.fastq.gz	IL-6_G105A-c_R2.fastq.gz
IL-6_G105A-d	IL-6_G105A	IL-6_G105A-d_R1.fastq.gz	IL-6_G105A-d_R2.fastq.gz
IL-6_G105A-e	IL-6_G105A	IL-6_G105A-e_R1.fastq.gz	IL-6_G105A-e_R2.fastq.gz
IL-6_G105A-f	IL-6_G105A	IL-6_G105A-f_R1.fastq.gz	IL-6_G105A-f_R2.fastq.gz
IL-6_G105A-g	IL-6_G105A	IL-6_G105A-g_R1.fastq.gz	IL-6_G105A-g_R2.fastq.gz
IL-6_G105A-h	IL-6_G105A	IL-6_G105A-h_R1.fastq.gz	IL-6_G105A-h_R2.fastq.gz
IL-6_G105A-i	IL-6_G105A	IL-6_G105A-i_R1.fastq.gz	IL-6_G105A-i_R2.fastq.gz
IL-6_G105A-j	IL-6_G105A	IL-6_G105A-j_R1.fastq.gz	IL-6_G105A-j_R2.fastq.gz
IL-6_G105A-k	IL-6_G105A	IL-6_G105A-k_R1.fastq.gz	IL-6_G105A-k_R2.fastq.gz
IL-6_G105A-l	IL-6_G105A	IL-6_G105A-l_R1.fastq.gz	IL-6_G105A-l_R2.fastq.gz
IL-6_E108A-a	IL-6_E108A	IL-6_E108A-a_R1.fastq.gz	IL-6_E108A-a_R2.fastq.gz
IL-6_E108A-b	IL-6_E108A	IL-6_E108A-b_R1.fastq.gz	IL-6_E108A-b_R2.fastq.gz
IL-6_E108A-c	IL-6_E108A	IL-6_E108A-c_R1.fastq.gz	IL-6_E108A-c_R2.fastq.gz
IL-6_E108A-d	IL-6_E108A	IL-6_E108A-d_R1.fastq.gz	IL-6_E108A-d_R2.fastq.gz
IL-6_E108A-e	IL-6_E108A	IL-6_E108A-e_R1.fastq.gz	IL-6_E108A-e_R2.fastq.gz
IL-6_E108A-f	IL-6_E108A	IL-6_E108A-f_R1.fastq.gz	IL-6_E108A-f_R2.fastq.gz
IL-6_E108A-g	IL-6_E108A	IL-6_E108A-g_R1.fastq.gz	IL-6_E108A-g_R2.fastq.gz
IL-6_E108A-h	IL-6_E108A	IL-6_E108A-h_R1.fastq.gz	IL-6_E108A-h_R2.fastq.gz
IL-6_E108A-i	IL-6_E108A	IL-6_E108A-i_R1.fastq.gz	IL-6_E108A-i_R2.fastq.gz
IL-6_E108A-j	IL-6_E108A	IL-6_E108A-j_R1.fastq.gz	IL-6_E108A-j_R2.fastq.gz
IL-6_E108A-k	IL-6_E108A	IL-6_E108A-k_R1.fastq.gz	IL-6_E108A-k_R2.fastq.gz
IL-6_E108A-l	IL-6_E108A	IL-6_E108A-l_R1.fastq.gz	IL-6_E108A-l_R2.fastq.gz
IL-6_T117A-a	IL-6_T117A	IL-6_T117A-a_R1.fastq.gz	IL-6_T117A-a_R2.fastq.gz
IL-6_T117A-b	IL-6_T117A	IL-6_T117A-b_R1.fastq.gz	IL-6_T117A-b_R2.fastq.gz
IL-6_T117A-c	IL-6_T117A	IL-6_T117A-c_R1.fastq.gz	IL-6_T117A-c_R2.fastq.gz
IL-6_T117A-d	IL-6_T117A	IL-6_T117A-d_R1.fastq.gz	IL-6_T117A-d_R2.fastq.gz
IL-6_T117A-e	IL-6_T117A	IL-6_T117A-e_R1.fastq.gz	IL-6_T117A-e_R2.fastq.gz
IL-6_T117A-f	IL-6_T117A	IL-6_T117A-f_R1.fastq.gz	IL-6_T117A-f_R2.fastq.gz
IL-6_T117A-g	IL-6_T117A	IL-6_T117A-g_R1.fastq.gz	IL-6_T117A-g_R2.fastq.gz
IL-6_T117A-h	IL-6_T117A	IL-6_T117A-h_R1.fastq.gz	IL-6_T117A-h_R2.fastq.gz
IL-6_T117A-i	IL-6_T117A	IL-6_T117A-i_R1.fastq.gz	IL-6_T117A-i_R2.fastq.gz
IL-6_T117A-j	IL-6_T117A	IL-6_T117A-j_R1.fastq.gz	IL-6_T117A-j_R2.fastq.gz
IL-6_T117A-k	IL-6_T117A	IL-6_T117A-k_R1.fastq.gz	IL-6_T117A-k_R2.fastq.gz
IL-6_T117A-l	IL-6_T117A	IL-6_T117A-l_R1.fastq.gz	IL-6_T117A-l_R2.fastq.gz
IL-6_L120A-a	IL-6_L120A	IL-6_L120A-a_R1.fastq.gz	IL-6_L120A-a_R2.fastq.gz
IL-6_L120A-b	IL-6_L120A	IL-6_L120A-b_R1.fastq.gz	IL-6_L120A-b_R2.fastq.gz
IL-6_L120A-c	IL-6_L120A	IL-6_L120A-c_R1.fastq.gz	IL-6_L120A-c_R2.fastq.gz
IL-6_L120A-d	IL-6_L120A	IL-6_L120A-d_R1.fastq.gz	IL-6_L120A-d_R2.fastq.gz
IL-6_L120A-e	IL-6_L120A	IL-6_L120A-e_R1.fastq.gz	IL-6_L120A-e_R2.fastq.gz
IL-6_L120A-f	IL-6_L120A	IL-6_L120A-f_R1.fastq.gz	IL-6_L120A-f_R2.fastq.gz
IL-6_L120A-g	IL-6_L120A	IL-6_L120A-g_R1.fastq.gz	IL-6_L120A-g_R2.fastq.gz
IL-6_L120A-h	IL-6_L120A	IL-6_L120A-h_R1.fastq.gz	IL-6_L120A-h_R2.fastq.gz
IL-6_L120A-i	IL-6_L120A	IL-6_L120A-i_R1.fastq.gz	IL-6_L120A-i_R2.fastq.gz
IL-6_L120A-j	IL-6_L120A	IL-6_L120A-j_R1.fastq.gz	IL-6_L120A-j_R2.fastq.gz
IL-6_L120A-k	IL-6_L120A	IL-6_L120A-k_R1.fastq.gz	IL-6_L120A-k_R2.fastq.gz
IL-6_L120A-l	IL-6_L120A	IL-6_L120A-l_R1.fastq.gz	IL-6_L120A-l_R2.fastq.gz
IL-6_L126A-a	IL-6_L126A	IL-6_L126A-a_R1.fastq.gz	IL-6_L126A-a_R2.fastq.gz
IL-6_L126A-b	IL-6_L126A	IL-6_L126A-b_R1.fastq.gz	IL-6_L126A-b_R2.fastq.gz
IL-6_L126A-c	IL-6_L126A	IL-6_L126A-c_R1.fastq.gz	IL-6_L126A-c_R2.fastq.gz
IL-6_L126A-d	IL-6_L126A	IL-6_L126A-d_R1.fastq.gz	IL-6_L126A-d_R2.fastq.gz
IL-6_L126A-e	IL-6_L126A	IL-6_L126A-e_R1.fastq.gz	IL-6_L126A-e_R2.fastq.gz
IL-6_L126A-f	IL-6_L126A	IL-6_L126A-f_R1.fastq.gz	IL-6_L126A-f_R2.fastq.gz
IL-6_L126A-g	IL-6_L126A	IL-6_L126A-g_R1.fastq.gz	IL-6_L126A-g_R2.fastq.gz
IL-6_L126A-h	IL-6_L126A	IL-6_L126A-h_R1.fastq.gz	IL-6_L126A-h_R2.fastq.gz
IL-6_L126A-i	IL-6_L126A	IL-6_L126A-i_R1.fastq.gz	IL-6_L126A-i_R2.fastq.gz
IL-6_L126A-j	IL-6_L126A	IL-6_L126A-j_R1.fastq.gz	IL-6_L126A-j_R2.fastq.gz
IL-6_L126A-k	IL-6_L126A	IL-6_L126A-k_R1.fastq.gz	IL-6_L126A-k_R2.fastq.gz
IL-6_L126A-l	IL-6_L126A	IL-6_L126A-l_R1.fastq.gz	IL-6_L126A-l_R2.fastq.gz
IL-6_L129A-a	IL-6_L129A	IL-6_L129A-a_R1.fastq.gz	IL-6_L129A-a_R2.fastq.gz
IL-6_L129A-b	IL-6_L129A	IL-6_L129A-b_R1.fastq.gz	IL-6_L129A-b_R2.fastq.gz
IL-6_L129A-c	IL-6_L129A	IL-6_L129A-c_R1.fastq.gz	IL-6_L129A-c_R2.fastq.gz
IL-6_L129A-d	IL-6_L129A	IL-6_L129A-d_R1.fastq.gz	IL-6_L129A-d_R2.fastq.gz
IL-6_L129A-e	IL-6_L129A	IL-6_L129A-e_R1.fastq.gz	IL-6_L129A-e_R2.fastq.gz
IL-6_L129A-f	IL-6_L129A	IL-6_L129A-f_R1.fastq.gz	IL-6_L129A-f_R2.fastq.gz
IL-6_L129A-g	IL-6_L129A	IL-6_L129A-g_R1.fastq.gz	IL-6_L129A-g_R2.fastq.gz
IL-6_L129A-h	IL-6_L129A	IL-6_L129A-h_R1.fastq.gz	IL-6_L129A-h_R2.fastq.gz
IL-6_L129A-i	IL-6_L129A	IL-6_L129A-i_R1.fastq.gz	IL-6_L129A-i_R2.fastq.gz
IL-6_L129A-j	IL-6_L129A	IL-6_L129A-j_R1.fastq.gz	IL-6_L129A-j_R2.fastq.gz
IL-6_L129A-k	IL-6_L129A	IL-6_L129A-k_R1.fastq.gz	IL-6_L129A-k_R2.fastq.gz
IL-6_L129A-l	IL-6_L129A	IL-6_L129A-l_R1.fastq.gz	IL-6_L129A-l_R2.fastq.gz
IL-6_S135A-a	IL-6_S135A	IL-6_S135A-a_R1.fastq.gz	IL-6_S135A-a_R2.fastq.gz
IL-6_S135A-b	IL-6_S135A	IL-6_S135A-b_R1.fastq.gz	IL-6_S135A-b_R2.fastq.gz
IL-6_S135A-c	IL-6_S135A	IL-6_S135A-c_R1.fastq.gz	IL-6_S135A-c_R2.fastq.gz
IL-6_S135A-d	IL-6_S135A	IL-6_S135A-d_R1.fastq.gz	IL-6_S135A-d_R2.fastq.gz
IL-6_S135A-e	IL-6_S135A	IL-6_S135A-e_R1.fastq.gz	IL-6_S135A-e_R2.fastq.gz
IL-6_S135A-f	IL-6_S135A	IL-6_S135A-f_R1.fastq.gz	IL-6_S135A-f_R2.fastq.gz
IL-6_S135A-g	IL-6_S135A	IL-6_S135A-g_R1.fastq.gz	IL-6_S135A-g_R2.fastq.gz
IL-6_S135A-h	IL-6_S135A	IL-6_S135A-h_R1.fastq.gz	IL-6_S135A-h_R2.fastq.gz
IL-6_S135A-i	IL-6_S135A	IL-6_S135A-i_R1.fastq.gz	IL-6_S135A-i_R2.fastq.gz
IL-6_S135A-j	IL-6_S135A	IL-6_S135A-j_R1.fastq.gz	IL-6_S135A-j_R2.fastq.gz
IL-6_S135A-k	IL-6_S135A	IL-6_S135A-k_R1.fastq.gz	IL-6_S135A-k_R2.fastq.gz
IL-6_S135A-l	IL-6_S135A	IL-6_S135A-l_R1.fastq.gz	IL-6_S135A-l_R2.fastq.gz
IL-6_E138A-a	IL-6_E138A	IL-6_E138A-a_R1.fastq.gz	IL-6_E138A-a_R2.fastq.gz
IL-6_E138A-b	IL-6_E138A	IL-6_E138A-b_R1.fastq.gz	IL-6_E138A-b_R2.fastq.gz
IL-6_E138A-c	IL-6_E138A	IL-6_E138A-c_R1.fastq.gz	IL-6_E138A-c_R2.fastq.gz
IL-6_E138A-d	IL-6_E138A	IL-6_E138A-d_R1.fastq.gz	IL-6_E138A-d_R2.fastq.gz
IL-6_E138A-e	IL-6_E138A	IL-6_E138A-e_R1.fastq.gz	IL-6_E138A-e_R2.fastq.gz
IL-6_E138A-f	IL-6_E138A	IL-6_E138A-f_R1.fastq.gz	IL-6_E138A-f_R2.fastq.gz
IL-6_E138A-g	IL-6_E138A	IL-6_E138A-g_R1.fastq.gz	IL-6_E138A-g_R2.fastq.gz
IL-6_E138A-h	IL-6_E138A	IL-6_E138A-h_R1.fastq.gz	IL-6_E138A-h_R2.fastq.gz
IL-6_E138A-i	IL-6_E138A	IL-6_E138A-i_R1.fastq.gz	IL-6_E138A-i_R2.fastq.gz
IL-6_E138A-j	IL-6_E138A	IL-6_E138A-j_R1.fastq.gz	IL-6_E138A-j_R2.fastq.gz
IL-6_E138A-k	IL-6_E138A	IL-6_E138A-k_R1.fastq.gz	IL-6_E138A-k_R2.fastq.gz
IL-6_E138A-l	IL-6_E138A	IL-6_E138A-l_R1.fastq.gz	IL-6_E138A-l_R2.fastq.gz
IL-6_Q144A-a	IL-6_Q144A	IL-6_Q144A-a_R1.fastq.gz	IL-6_Q144A-a_R2.fastq.gz
IL-6_Q144A-b	IL-6_Q144A	IL-6_Q144A-b_R1.fastq.gz	IL-6_Q144A-b_R2.fastq.gz
IL-6_Q144A-c	IL-6_Q144A	IL-6_Q144A-c_R1.fastq.gz	IL-6_Q144A-c_R2.fastq.gz
IL-6_Q144A-d	IL-6_Q144A	IL-6_Q144A-d_R1.fastq.gz	IL-6_Q144A-d_R2.fastq.gz
IL-6_Q144A-e	IL-6_Q144A	IL-6_Q144A-e_R1.fastq.gz	IL-6_Q144A-e_R2.fastq.gz
IL-6_Q144A-f	IL-6_Q144A	IL-6_Q144A-f_R1.fastq.gz	IL-6_Q144A-f_R2.fastq.gz
IL-6_Q144A-g	IL-6_Q144A	IL-6_Q144A-g_R1.fastq.gz	IL-6_Q144A-g_R2.fastq.gz
IL-6_Q144A-h	IL-6_Q144A	IL-6_Q144A-h_R1.fastq.gz	IL-6_Q144A-h_R2.fastq.gz
IL-6_Q144A-i	IL-6_Q144A	IL-6_Q144A-i_R1.fastq.gz	IL-6_Q144A-i_R2.fastq.gz
IL-6_Q144A-j	IL-6_Q144A	IL-6_Q144A-j_R1.fastq.gz	IL-6_Q144A-j_R2.fastq.gz
IL-6_Q144A-k	IL-6_Q144A	IL-6_Q144A-k_R1.fastq.gz	IL-6_Q144A-k_R2.fastq.gz
IL-6_Q144A-l	IL-6_Q144A	IL-6_Q144A-l_R1.fastq.gz	IL-6_Q144A-l_R2.fastq.gz
IL-6_F153A-a	IL-6_F153A	IL-6_F153A-a_R1.fastq.gz	IL-6_F153A-a_R2.fastq.gz
IL-6_F153A-b	IL-6_F153A	IL-6_F153A-b_R1.fastq.gz	IL-6_F153A-b_R2.fastq.gz
IL-6_F153A-c	IL-6_F153A	IL-6_F153A-c_R1.fastq.gz	IL-6_F153A-c_R2.fastq.gz
IL-6_F153A-d	IL-6_F153A	IL-6_F153A-d_R1.fastq.gz	IL-6_F153A-d_R2.fastq.gz
IL-6_F153A-e	IL-6_F153A	IL-6_F153A-e_R1.fastq.gz	IL-6_F153A-e_R2.fastq.gz
IL-6_F153A-f	IL-6_F153A	IL-6_F153A-f_R1.fastq.gz	IL-6_F153A-f_R2.fastq.gz
IL-6_F153A-g	IL-6_F153A	IL-6_F153A-g_R1.fastq.gz	IL-6_F153A-g_R2.fastq.gz
IL-6_F153A-h	IL-6_F153A	IL-6_F153A-h_R1.fastq.gz	IL-6_F153A-h_R2.fastq.gz
IL-6_F153A-i	IL-6_F153A	IL-6_F153A-i_R1.fastq.gz	IL-6_F153A-i_R2.fastq.gz
IL-6_F153A-j	IL-6_F153A	IL-6_F153A-j_R1.fastq.gz	IL-6_F153A-j_R2.fastq.gz
IL-6_F153A-k	IL-6_F153A	IL-6_F153A-k_R1.fastq.gz	IL-6_F153A-k_R2.fastq.gz
IL-6_F153A-l	IL-6_F153A	IL-6_F153A-l_R1.fastq.gz	IL-6_F153A-l_R2.fastq.gz
IL-6_D162A-a	IL-6_D162A	IL-6_D162A-a_R1.fastq.gz	IL-6_D162A-a_R2.fastq.gz
IL-6_D162A-b	IL-6_D162A	IL-6_D162A-b_R1.fastq.gz	IL-6_D162A-b_R2.fastq.gz
IL-6_D162A-c	IL-6_D162A	IL-6_D162A-c_R1.fastq.gz	IL-6_D162A-c_R2.fastq.gz
IL-6_D162A-d	IL-6_D162A	IL-6_D162A-d_R1.fastq.gz	IL-6_D162A-d_R2.fastq.gz
IL-6_D162A-e	IL-6_D162A	IL-6_D162A-e_R1.fastq.gz	IL-6_D162A-e_R2.fastq.gz
IL-6_D162A-f	IL-6_D162A	IL-6_D162A-f_R1.fastq.gz	IL-6_D162A-f_R2.fastq.gz
IL-6_D162A-g	IL-6_D162A	IL-6_D162A-g_R1.fastq.gz	IL-6_D162A-g_R2.fastq.gz
IL-6_D162A-h	IL-6_D162A	IL-6_D162A-h_R1.fastq.gz	IL-6_D162A-h_R2.fastq.gz
IL-6_D162A-i	IL-6_D162A	IL-6_D162A-i_R1.fastq.gz	IL-6_D162A-i_R2.fastq.gz
IL-6_D162A-j	IL-6_D162A	IL-6_D162A-j_R1.fastq.gz	IL-6_D162A-j_R2.fastq.gz
IL-6_D162A-k	IL-6_D162A	IL-6_D162A-k_R1.fastq.gz	IL-6_D162A-k_R2.fastq.gz
IL-6_D162A-l	IL-6_D162A	IL-6_D162A-l_R1.fastq.gz	IL-6_D162A-l_R2.fastq.gz
IL-6_T165A-a	IL-6_T165A	IL-6_T165A-a_R1.fastq.gz	IL-6_T165A-a_R2.fastq.gz
IL-6_T165A-b	IL-6_T165A	IL-6_T165A-b_R1.fastq.gz	IL-6_T165A-b_R2.fastq.gz
IL-6_T165A-c	IL-6_T165A	IL-6_T165A-c_R1.fastq.gz	IL-6_T165A-c_R2.fastq.gz
IL-6_T165A-d	IL-6_T165A	IL-6_T165A-d_R1.fastq.gz	IL-6_T165A-d_R2.fastq.gz
IL-6_T165A-e	IL-6_T165A	IL-6_T165A-e_R1.fastq.gz	IL-6_T165A-e_R2.fastq.gz
IL-6_T165A-f	IL-6_T165A	IL-6_T165A-f_R1.fastq.gz	IL-6_T165A-f_R2.fastq.gz
IL-6_T165A-g	IL-6_T165A	IL-6_T165A-g_R1.fastq.gz	IL-6_T165A-g_R2.fastq.gz
IL-6_T165A-h	IL-6_T165A	IL-6_T165A-h_R1.fastq.gz	IL-6_T165A-h_R2.fastq.gz
IL-6_T165A-i	IL-6_T165A	IL-6_T165A-i_R1.fastq.gz	IL-6_T165A-i_R2.fastq.gz
IL-6_T165A-j	IL-6_T165A	IL-6_T165A-j_R1.fastq.gz	IL-6_T165A-j_R2.fastq.gz
IL-6_T165A-k	IL-6_T165A	IL-6_T165A-k_R1.fastq.gz	IL-6_T165A-k_R2.fastq.gz
IL-6_T165A-l	IL-6_T165A	IL-6_T165A-l_R1.fastq.gz	IL-6_T165A-l_R2.fastq.gz
IL-6_D168A-a	IL-6_D168A	IL-6_D168A-a_R1.fastq.gz	IL-6_D168A-a_R2.fastq.gz
IL-6_D168A-b	IL-6_D168A	IL-6_D168A-b_R1.fastq.gz	IL-6_D168A-b_R2.fastq.gz
IL-6_D168A-c	IL-6_D168A	IL-6_D168A-c_R1.fastq.gz	IL-6_D168A-c_R2.fastq.gz
IL-6_D168A-d	IL-6_D168A	IL-6_D168A-d_R1.fastq.gz	IL-6_D168A-d_R2.fastq.gz
IL-6_D168A-e	IL-6_D168A	IL-6_D168A-e_R1.fastq.gz	IL-6_D168A-e_R2.fastq.gz
IL-6_D168A-f	IL-6_D168A	IL-6_D168A-f_R1.fastq.gz	IL-6_D168A-f_R2.fastq.gz
IL-6_D168A-g	IL-6_D168A	IL-6_D168A-g_R1.fastq.gz	IL-6_D168A-g_R2.fastq.gz
IL-6_D168A-h	IL-6_D168A	IL-6_D168A-h_R1.fastq.gz	IL-6_D168A-h_R2.fastq.gz
IL-6_D168A-i	IL-6_D168A	IL-6_D168A-i_R1.fastq.gz	IL-6_D168A-i_R2.fastq.gz
IL-6_D168A-j	IL-6_D168A	IL-6_D168A-j_R1.fastq.gz	IL-6_D168A-j_R2.fastq.gz
IL-6_D168A-k	IL-6_D168A	IL-6_D168A-k_R1.fastq.gz	IL-6_D168A-k_R2.fastq.gz
IL-6_D168A-l	IL-6_D168A	IL-6_D168A-l_R1.fastq.gz	IL-6_D168A-l_R2.fastq.gz
